uprn,organisation,sao,pao,street,town,postcode,postally_addressable,ward,level,classification,property_status,address_status,official,accuracy,x,y,Swk_GIS_buildingID,TOID,Building_footprint_area_m2,LR_title_no,LR_insert_date,LR_update_date,LR_estate_interest_code,LR_estate_interest,LR_class_of_title_code,LR_clase_of_title,LR_registered_status,LR_ccod_address,LR_ccod_proprietor_name_1,LR_ccod_company_registration_no_1,LR_ccod_proprietorship_category_1,LR_ccod_proprietor_1_address_1
200003755366,,,BURWASH HOUSE KIPLING ESTATE,WESTON STREET,,,0,London Bridge & West Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532962,179713,451,1000005887038,273.138744,TGL262906,"Mar 02, 2010","Mar 20, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Land on the south side of Guy Street, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755365,,,BRENLEY HOUSE TABARD GARDEN ESTATE,TENNIS STREET,,,0,Chaucer,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532640,179758,482,1000005887286,674.716232,SGL236955,"Mar 02, 2010","Oct 05, 2017",EL,Estate in land,AF,Absolute freehold title,Registered,"Betsham House and parts of Northfleet House, Boughton House, Balin House and Brenley House, Mermaid Court",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755363,,,PINE HOUSE AINSTY ESTATE,SWAN ROAD,,,0,Rotherhithe,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,535447,179841,2003,1000041682237,312.94252,TGL104943,"Sep 04, 2009","Jun 19, 2013",EL,Estate in land,AF,Absolute freehold title,Registered,The Ainsty Estate and the Albion Estate,THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755361,,,BEECH HOUSE AINSTY ESTATE,SWAN ROAD,,,0,Rotherhithe,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,535505,179799,2087,1000041681693,337.2835,TGL104943,"Sep 04, 2009","Jun 19, 2013",EL,Estate in land,AF,Absolute freehold title,Registered,The Ainsty Estate and the Albion Estate,THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755360,,,CRAYFORD HOUSE TABARD GARDEN ESTATE,STAPLE STREET,,,0,Chaucer,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532865,179544,513,1000005886922,632.184992,LN46637,"Mar 02, 2010","Jul 01, 2019",EL,Estate in land,AF,Absolute freehold title,Registered,"152 to 162 (even numbers) and Dunkirk House, Long Lane, Crayford House and parts of Aylesford House, Otford House, Staple Street, Kemsing House, Eastwell House, Lenham House, Seal House and part of Chartham House, Weston Street and part of the site of Pardoner Street, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755350,,,MOLESWORTH HOUSE BRANDON ESTATE,ROYAL ROAD,,,0,Newington,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,531777,177657,2387,1000005720509,401.152625,LN107479,"Jan 26, 2012","Jul 25, 2018",EL,Estate in land,AF,Absolute freehold title,Registered,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755345,,,REGINA POINT CANADA ESTATE,RENFORTH STREET,,,0,Rotherhithe,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,535399,179493,2034,1000041683210,222.036248,291616,"Dec 09, 2009","Jul 03, 2017",EL,Estate in land,AF,Absolute freehold title,Registered,"Neptune Works, Neptune Street",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755341,,,IVYBRIDGE HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533466,175636,356,1000006018034,417.548752,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755339,,,GEDLING HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533497,175671,357,1000006018039,654.57185,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755337,,,FELBRIDGE HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533418,175469,361,1000006019991,1688.489025,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755331,,,STAGSHAW HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533384,175591,360,1000006018002,350.602512,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
