os_postcode,uprn,pao,street,town,postcode,lr_ccod_address,uprn2,os_lpi_address,os_pao
SE1 3RP,200003755366,BURWASH HOUSE KIPLING ESTATE,WESTON STREET,,,"Land on the south side of Guy Street, London",200003755366,"BURWASH HOUSE KIPLING ESTATE, WESTON STREET, LONDON, SE1 3RP",BURWASH HOUSE KIPLING ESTATE WESTON STREET
SE1 1YG,200003755365,BRENLEY HOUSE TABARD GARDEN ESTATE,TENNIS STREET,,,"Betsham House and parts of Northfleet House, Boughton House, Balin House and Brenley House, Mermaid Court",200003755365,"BRENLEY HOUSE TABARD GARDEN ESTATE, TENNIS STREET, LONDON, SE1 1YG",BRENLEY HOUSE TABARD GARDEN ESTATE TENNIS STREET
SE16 7DE,200003755363,PINE HOUSE AINSTY ESTATE,SWAN ROAD,,,The Ainsty Estate and the Albion Estate,200003755363,"PINE HOUSE AINSTY ESTATE, SWAN ROAD, LONDON, SE16 7DE",PINE HOUSE AINSTY ESTATE SWAN ROAD
SE16 7DQ,200003755361,BEECH HOUSE AINSTY ESTATE,SWAN ROAD,,,The Ainsty Estate and the Albion Estate,200003755361,"BEECH HOUSE AINSTY ESTATE, SWAN ROAD, LONDON, SE16 7DQ",BEECH HOUSE AINSTY ESTATE SWAN ROAD
SE1 4BU,200003755360,CRAYFORD HOUSE TABARD GARDEN ESTATE,STAPLE STREET,,,"152 to 162 (even numbers) and Dunkirk House, Long Lane, Crayford House and parts of Aylesford House, Otford House, Staple Street, Kemsing House, Eastwell House, Lenham House, Seal House and part of Chartham House, Weston Street and part of the site of Pardoner Street, London",200003755360,"CRAYFORD HOUSE TABARD GARDEN ESTATE, STAPLE STREET, LONDON, SE1 4BU",CRAYFORD HOUSE TABARD GARDEN ESTATE STAPLE STREET
SE17 3NN,200003755350,MOLESWORTH HOUSE BRANDON ESTATE,ROYAL ROAD,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003755350,"MOLESWORTH HOUSE BRANDON ESTATE, ROYAL ROAD, LONDON, SE17 3NN",MOLESWORTH HOUSE BRANDON ESTATE ROYAL ROAD
SE16 7BB,200003755345,REGINA POINT CANADA ESTATE,RENFORTH STREET,,,"Neptune Works, Neptune Street",200003755345,"REGINA POINT CANADA ESTATE, RENFORTH STREET, LONDON, SE16 7BB",REGINA POINT CANADA ESTATE RENFORTH STREET
SE22 8BS,200003755341,IVYBRIDGE HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755341,"IVYBRIDGE HOUSE EAST DULWICH ESTATE, QUORN ROAD, LONDON, SE22 8BS",IVYBRIDGE HOUSE EAST DULWICH ESTATE QUORN ROAD
SE22 8BP,200003755339,GEDLING HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755339,"GEDLING HOUSE EAST DULWICH ESTATE, QUORN ROAD, LONDON, SE22 8BP",GEDLING HOUSE EAST DULWICH ESTATE QUORN ROAD
SE22 8BY,200003755337,FELBRIDGE HOUSE EAST DULWICH ESTATE,QUORN ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755337,"FELBRIDGE HOUSE EAST DULWICH ESTATE, QUORN ROAD, LONDON, SE22 8BY",FELBRIDGE HOUSE EAST DULWICH ESTATE QUORN ROAD
