uprn,abp_postcode
200003495471,SE15 4UR
10009800358,SE1 3GE
200003500826,SE5 7TW
200003453963,SE5 0EG
10009791073,SE15 1RW
10013525198,SE16 6RL
200003377174,SE1 9DG
200003425244,SE17 2TR
10009807008,SE22 0NQ
10009794630,SE1 3QQ
200003500530,SE17 2UD
200003396024,SE15 5EG
200003755236,SE5 8DW
10000810579,SE5 8HH
10000810589,SE5 8HH
200003494548,SE1 6SG
10009804135,SE5 7EJ
10000810697,SE5 8HQ
10000810680,SE5 8HQ
10000810684,SE5 8HQ
10000819139,SE1 2YG
200003377154,SE1 9GY
10000810731,SE5 8HJ
10000810721,SE5 8HJ
10009806789,SE1 3LP
10013527306,SE5 0AD
10009806971,SE1 3PN
10000811112,SE1 3EA
200003355006,SE1 0RB
10000816546,SE16 5SH
200003499255,SE5 9HA
200003354369,SE1 0UG
200003495157,SE17 2FG
10000812440,SE1 2DJ
10009791606,SE17 2HF
200003403192,SE16 2HP
200003376895,SE1 9LP
10094745777,SE5 8GB
200003755273,SE15 5NF
200003495344,SE16 2AG
10090284345,SE1 3GH
200003497393,SE16 7WJ
10091665282,SE1 8ND
10091665903,SE1 9LB
10013530482,SE1 9DA
10000818241,SE17 1AB
200003431020,SE17 3DY
200003439707,SE22 0PL
200003370650,SE1 5ET
10090285809,SE16 4UP
200003426421,SE17 2DT
200003401870,SE16 2HY
200003439798,SE22 0PP
200003439680,SE22 0PL
10009796655,SE1 0AS
200003401871,SE16 2HY
200003401872,SE16 2HY
200003455387,SE5 7EZ
200003401873,SE16 2HY
200003426922,SE17 2QR
200003401920,SE16 2HZ
200003426923,SE17 2QR
200003499025,SE1 1JU
200003401922,SE16 2HZ
200003426929,SE17 2QR
200003403270,SE16 2HW
10094742456,SE1 1LL
200003401882,SE16 2HY
200003402160,SE16 2JF
10090750840,SE1 5YB
200003426885,SE17 2QR
200003413510,SE16 5UD
200003426886,SE17 2QR
200003401771,SE16 2HT
200003495712,SE1 0AS
200003374368,SE1 6BN
200003401772,SE16 2HT
200003427053,SE17 2TN
200003378310,SE11 4JT
200003402052,SE16 2JB
200003402053,SE16 2JB
200003500026,SE16 4NF
10013524435,SE1 3JW
200003497847,SE19 1UZ
200003748410,SE1 5RY
200003402054,SE16 2JB
200003433500,SE19 1PH
10090285982,SE1 0AT
10009791070,SE15 2BZ
200003358104,SE1 2BU
200003370307,SE1 5UY
200003403231,SE16 2HR
200003403232,SE16 2HR
200003499171,SE1 4BL
200003403233,SE16 2HR
10009799219,SE1 8QH
200003500532,SE1 6NY
200003755291,SE17 2LJ
200003748441,SE1 5RZ
200003401895,SE16 2HY
200003418630,SE17 1FJ
200003426898,SE17 2QR
200003401899,SE16 2HY
200003402177,SE16 2JF
200003402060,SE16 2JB
200003402178,SE16 2JF
10090749257,SE1 2NE
200003408830,SE16 4SQ
200003409505,SE16 4SG
200003403218,SE16 2HR
10090283432,SE22 8EJ
200003370630,SE1 5ES
200003403787,SE16 2XH
200003428221,SE17 2QR
10000817503,SE1 4AY
200003458300,SE5 7JN
200003401861,SE16 2HY
10091668130,SE1 0RB
10009798572,SE1 9DW
200003452370,SE5 0YD
10090284254,SE5 0AF
10013526075,SE1 1LB
200003411330,SE16 5RH
200003396790,SE15 5UB
200003469240,SE22 8PT
10013533585,SE16 2HZ
200003403205,SE16 2HP
200003380097,SE15 1NF
200003492231,SE1 8HA
200003403208,SE16 2HP
200003432053,SE17 3SY
200003750195,SE16 7BL
10009797908,SE1 4PR
200003754254,SE1 3ED
10013533720,SE1 6AS
200003371683,SE1 5UR
200003403209,SE16 2HP
200003755203,SE5 0XP
200003433575,SE19 1SP
200003748035,SE1 3EF
10000818280,SE16 4RW
10009799990,SE1 9BN
200003748260,SE1 4BU
200003401799,SE16 2HT
10091665876,SE1 9RT
200003495629,SE1 2YG
200003354995,SE1 9JA
10090283885,SE1 3FN
200003418214,SE16 7WE
200003371759,SE1 5XB
10009799872,SE1 4PR
200003500815,SE1 8XQ
200003755206,SE5 0XR
10009798456,SE1 4PN
200003452228,SE5 0XU
200003495890,SE1 0HX
10013533983,SE1 0FH
200003407465,SE16 3UX
10013528964,SE16 7AH
10093341145,SE16 4BX
200003499333,SE15 5TA
10009801432,SE1 3FL
10091666175,SE1 1NP
200003494688,SE1 5QY
200003376882,SE1 9DG
10009800204,SE5 0YJ
200003490554,SE1 2PY
10013530266,SE15 6PY
200003500004,SE16 5FS
10009807831,SE16 3BA
10000811758,SE1 9SG
10013530537,SE1 9PD
200003500002,SE16 5UA
200003494880,SE15 5EB
200003358512,SE1 2LF
200003360286,SE1 2EA
10009801333,SE16 7DE
10090284180,SE1 3FS
10000813158,SE1 1TL
10090284330,SE5 0AE
200003495710,SE1 0AT
10000813482,SE1 2AH
200003354837,SE1 0QA
10093340669,SE1 1NL
200003499668,SE22 0PJ
10009788070,SE16 3DG
10013533861,SE1 9NY
200003367078,SE1 4GR
10091970643,SE1 8RF
200003495921,SE1 0FE
10013528205,SE1 1XF
200003369400,SE1 5EY
10009799104,SE1 2LX
200003493786,SE24 9JE
10013524500,SE1 3TN
10093339467,SE1 8BN
200003377536,SE1 9PS
10013524236,SE1 5DP
10013525040,SE16 6RN
200003373360,SE1 6QH
200003492415,SE1 9SG
10013525112,SE16 6RG
10000811354,SE1 9RT
10090747612,SE1 0SU
200003356571,SE1 1NX
10013526120,SE1 1QT
10013526834,SE15 5HD
10092030802,SE1 9ED
10013527035,SE1 0JN
10090286374,SE1 9JU
10013529223,SE1 2RN
10013528786,SE1 2EP
200003500835,SE1 7JB
200003353386,SE1 0UQ
200003496822,SE1 8RH
10013530015,SE1 5ZT
10013530600,SE1 9LB
10013531072,SE1 9RE
10091978620,SE1 9EQ
10000811481,SE1 6SL
10013531457,SE1 9TN
200003458340,SE5 7JW
200003355830,SE1 1QF
10091665440,SE1 3FT
200003371769,SE1 5XG
10090746824,SE17 3DG
200003371743,SE1 5XB
10009805909,SE1 4ND
10009804740,SE22 8AA
10013531395,SE1 3QJ
200003355807,SE1 1QE
200003432216,SE17 3TG
200003431820,SE17 3SE
200003452313,SE5 0XZ
200003457101,SE5 7JD
200003750358,SE16 7DQ
10009806976,SE5 8EJ
10013530102,SE1 3FD
200003750359,SE16 7DQ
200003371730,SE1 5XB
200003397129,SE15 5UE
200003371731,SE1 5XB
200003400260,SE15 6TQ
200003380480,SE15 1DY
200003363714,SE1 3TJ
200003365172,SE1 4EE
10009794654,SE1 2FB
200003357490,SE1 2NT
200003360270,SE1 2EP
200003452656,SE5 0SY
200003457898,SE5 7DD
10090282981,SE1 0EF
200003430669,SE17 3UB
200003366840,SE1 4BW
200003426933,SE17 2QR
200003439858,SE22 0PU
200003426934,SE17 2QR
200003752644,SE5 7JE
10013525564,SE1 0NW
10093339996,SE1 3UN
200003401933,SE16 2HZ
200003426936,SE17 2QR
200003401934,SE16 2HZ
200003401935,SE16 2HZ
200003401820,SE16 2HX
200003401821,SE16 2HX
200003401939,SE16 2HZ
200003370246,SE1 5UX
200003367350,SE1 4UZ
200003402107,SE16 2JE
200003390680,SE15 3JA
200003402109,SE16 2JE
200003379884,SE15 1EN
200003370595,SE1 5PQ
200003390692,SE15 3JB
200003398928,SE15 6TY
200003401725,SE16 2HS
200003419438,SE17 1AA
200003427790,SE17 2JN
10013533806,SE16 3DG
200003749540,SE16 3PG
200003752889,SE5 8HX
200003752771,SE5 7QR
200003390242,SE15 3JL
200003753050,SE5 9HF
200003439870,SE22 0PU
200003749542,SE16 3PG
200003370480,SE1 5NZ
200003379896,SE15 1EN
200003401728,SE16 2HS
200003403187,SE16 2HP
200003401729,SE16 2HS
200003390248,SE15 3JL
200003426951,SE17 2QR
10091668223,SE17 2FX
200003375163,SE1 7QH
200003401956,SE16 2JA
200003360045,SE1 2BF
200003426959,SE17 2QR
200003442997,SE22 8PA
200003752100,SE22 8DB
200003431080,SE17 3EA
200003363791,SE1 3PL
200003401958,SE16 2JA
200003401840,SE16 2HX
200003367598,SE1 4YL
200003370260,SE1 5UX
200003401959,SE16 2JA
200003366301,SE1 4XF
200003370261,SE1 5UX
10013529970,SE16 4RJ
200003371700,SE1 5UR
10000810595,SE5 8HH
200003426940,SE17 2QR
200003363075,SE1 3BD
200003426949,SE17 2QR
200003439757,SE22 0PP
200003401948,SE16 2JA
200003439640,SE22 0PJ
200003401949,SE16 2JA
200003401831,SE16 2HX
200003401833,SE16 2HX
10000811563,SE1 9GZ
10009806238,SE1 4NH
10009805842,SE1 6DT
10009806120,SE1 4NG
200003403300,SE16 2HW
200003415720,SE16 6YJ
10090746953,SE1 0BL
200003371670,SE1 5NL
200003429151,SE17 3HH
200003429152,SE17 3HH
10091664622,SE1 9JW
200003357727,SE1 2XQ
200003373314,SE1 6QD
200003427297,SE17 2UF
200003433407,SE19 1LR
200003749498,SE16 3PF
200003752160,SE22 8AG
200003750702,SE17 2LQ
10013525183,SE16 6RJ
200003357610,SE1 2XG
200003427180,SE17 2UD
200003361120,SE1 3JT
10000813439,SE1 2NZ
200003358341,SE1 2NG
200003373650,SE1 6RH
200003427182,SE17 2UD
200003402180,SE16 2JF
200003413980,SE16 5EQ
200003402181,SE16 2JF
200003402183,SE16 2JF
200003371605,SE1 5NJ
200003437552,SE22 0JT
10013530768,SE1 3FG
200003477415,SE1 0SW
200003423900,SE17 2RN
200003423901,SE17 2RN
200003423902,SE17 2RN
200003363810,SE1 3LN
200003433380,SE19 1LP
200003364796,SE1 4DH
200003365074,SE1 4DW
200003371635,SE1 5NJ
200003376423,SE1 9PE
200003389348,SE15 3JT
200003396971,SE15 5HZ
200003424320,SE17 2HE
200003432006,SE17 3SX
200003431728,SE17 3PH
200003431610,SE17 3PG
200003452103,SE5 0XA
200003451825,SE5 0UF
200003748097,SE1 3EQ
200003750030,SE16 4SX
10094745249,SE1 2BS
10000812036,SE16 7BE
10013530343,SE16 3SG
10090284320,SE5 0AE
10090747533,SE15 4BH
200003371636,SE1 5NJ
200003359000,SE1 2UP
200003432791,SE17 3SU
10094745132,SE5 8UH
10009805920,SE1 4NE
200003356210,SE1 1XY
200003489970,SE16 2DN
200003485128,SE1 9DF
200003403830,SE16 2AF
200003448930,SE23 3RA
200003369470,SE1 5EZ
200003416512,SE16 7LX
200003452440,SE5 0YL
10000809818,SE1 1JJ
200003416788,SE16 7LA
200003416820,SE16 7LA
10013528403,SE16 4AF
10013528854,SE16 4BP
10013530905,SE1 9JF
10090285611,SE17 1JQ
10090286458,SE16 4ED
10090286340,SE16 4BF
200003402187,SE16 2JF
200003453955,SE5 0EB
200003357506,SE1 2NX
10093341186,SE1 2PR
200003365130,SE1 4DY
200003458610,SE5 7DH
200003372420,SE1 6HX
200003747875,SE1 3UL
200003409970,SE16 4UW
10092030870,SE1 9LX
200003454070,SE5 0LA
200003357566,SE1 2UD
10013533105,SE1 9DR
200003370221,SE1 5UU
200003379970,SE15 1ND
200003403260,SE16 2HW
200003356910,SE1 2JX
200003480950,SE21 7LG
200003411397,SE16 5HD
200003431494,SE17 3NQ
200003439612,SE22 0PJ
10000813154,SE1 1TL
200003401803,SE16 2HT
200003403262,SE16 2HW
200003415340,SE16 6PT
200003370224,SE1 5UU
200003403263,SE16 2HW
10000818679,SE15 6AU
200003749620,SE16 3PJ
200003753698,SE15 1RN
200003403264,SE16 2HW
200003403266,SE16 2HW
200003410890,SE16 4US
10013525310,SE16 4QJ
200003356802,SE1 1NY
200003358378,SE1 2LZ
200003357531,SE1 2UD
200003357649,SE1 2XJ
200003373236,SE1 6PU
