uprn,OS_lpi_address,OS_pao,OS_postcode,OS_max_height,OS_height_band,OS_max_epc_floor_level,OS_address_count,OS_property_type,OS_lucs_type_count,OS_title_number,OS_title_number_counts,OS_toid,OS_usrn,OS_custodian_name,OS_country,OS_easting,OS_northing
10093341020,"251 SOUTHWARK BRIDGE ROAD, LONDON, SE1 6FJ",251 SOUTHWARK BRIDGE ROAD,SE1 6FJ,129.4,Over 18m,,338,FLATS,RESIDENTIAL:338,{TGL112684},1,osgb5000005227564516,22502285,SOUTHWARK,ENGLAND,532003.73,179282
10093341333,"24 QUEBEC WAY, LONDON, SE16 7FR",24 QUEBEC WAY,SE16 7FR,24.8,Over 18m,,2,MULTI (RETAIL) COMMERCIAL,"RETAILING:1, COMMUNITY BUILDINGS:1",{SGL486589},1,osgb5000005233840352,22502022,SOUTHWARK,ENGLAND,535979,179599
10013525321,"20 ST JAMESS ROAD, LONDON, SE16 4QJ",20 ST JAMESS ROAD,SE16 4QJ,19.6,Over 18m,4,14,FLATS,RESIDENTIAL:14,{TGL272108},1,osgb1000001769649192,22502341,SOUTHWARK,ENGLAND,534323.33,179372.14
200003500544,"122 TOOLEY STREET, LONDON, SE1 2TU",122 TOOLEY STREET,SE1 2TU,21.9,Over 18m,,2,MULTI COMMERCIAL,OFFICES:2,{SGL378704},1,osgb1000006033778,22502518,SOUTHWARK,ENGLAND,533224,180076
200003498491,"WELLER HOUSE DICKENS ESTATE, GEORGE ROW, LONDON, SE16 4UU",WELLER HOUSE DICKENS ESTATE GEORGE ROW,SE16 4UU,18.8,Over 18m,4,32,FLATS,RESIDENTIAL:32,{LN17510},1,osgb1000006172799,22501038,SOUTHWARK,ENGLAND,534169,179576
200003497133,"TOVY HOUSE, AVONDALE SQUARE, LONDON, SE1 5EY",TOVY HOUSE AVONDALE SQUARE,SE1 5EY,34,Over 18m,10,52,FLATS,RESIDENTIAL:52,,,osgb1000006171947,22500119,SOUTHWARK,ENGLAND,534158,178218
10000817096,"TEMPUS WHARF, 29 BERMONDSEY WALL WEST, LONDON, SE16 4RW",TEMPUS WHARF 29 BERMONDSEY WALL WEST,SE16 4RW,19.8,Over 18m,5,11,MIXED USE,"RESIDENTIAL:9, OFFICES:2",{TGL345136},1,osgb1000006173041,22500227,SOUTHWARK,ENGLAND,534199.55,179804.4
200003498836,"ST MICHAELS COURT, 3 HULME PLACE, LONDON, SE1 1HY",ST MICHAELS COURT 3 HULME PLACE,SE1 1HY,19.5,Over 18m,4,12,FLATS,RESIDENTIAL:12,{SGL115391},1,osgb1000042665930,22501312,SOUTHWARK,ENGLAND,532340,179602
200003497883,"SKENFRITH HOUSE LEDBURY ESTATE, COMMERCIAL WAY, LONDON, SE15 1NE",SKENFRITH HOUSE LEDBURY ESTATE COMMERCIAL WAY,SE15 1NE,42.1,Over 18m,13,57,FLATS,RESIDENTIAL:56,{TGL69487},1,osgb1000006165572,22500567,SOUTHWARK,ENGLAND,534698,177552
10000816587,"SHAFTESBURY COURT DENMARK HILL ESTATE, DENMARK HILL, LONDON, SE5 8HQ",SHAFTESBURY COURT DENMARK HILL ESTATE DENMARK HILL,SE5 8HQ,21.1,Over 18m,5,36,FLATS,RESIDENTIAL:36,{SGL336437},1,osgb1000005873470,22500746,SOUTHWARK,ENGLAND,532748,175508
